"","CAPOVERALL","CurrentModCodValue","USGOVERALL","DEVICEID"
"430",0,"8PSK - two-third",0,"TERM740"
"431",0,"8PSK - three-fourth",0,"TERM1199"
"432",0,"8PSK - two-third",0,"TERM67"
"433",0,"8PSK - fifth-sixth",0,"TERM697"
"434",0,"8PSK - two-third",0,"TERM1142"
"435",200,"8PSK - two-third",0,"TERM1134"
"436",0,"8PSK - fifth-sixth",0,"TERM1030"
"437",0,"8PSK - three-fourth",0,"TERM1035"
"438",0,"8PSK - three-fourth",0,"TERM1107"
"439",0,"8PSK - fifth-sixth",0,"TERM717"
"440",0,"8PSK - two-third",0,"TERM1091"
"441",0,"8PSK - two-third",0,"TERM742"
"442",0,"8PSK - two-third",0,"TERM892"
"443",0,"8PSK - two-third",0,"TERM786"
"444",0,"8PSK - fifth-sixth",0,"TERM731"
"445",0,"8PSK - two-third",0,"TERM127"
"446",0,"8PSK - three-fourth",0,"TERM770"
"447",200,"8PSK - two-third",200,"TERM177"
"448",0,"8PSK - three-fourth",0,"TERM649"
"449",0,"8PSK - two-third",0,"TERM590"
"450",0,"8PSK - two-third",0,"TERM564"
"451",0,"8PSK - fifth-sixth",0,"TERM576"
"452",0,"8PSK - three-fourth",0,"TERM512"
"453",0,"8PSK - three-fourth",0,"TERM575"
"454",0,"8PSK - three-fourth",0,"TERM465"
"455",0,"8PSK - three-fourth",0,"TERM467"
"456",0,"8PSK - two-third",0,"TERM812"
"457",20000,"8PSK - three-fourth",19999,"TERM1288"
"458",10000,"8PSK - three-fourth",9999,"TERM1290"
"459",10000,"8PSK - three-fourth",8003,"TERM1304"
"460",10000,"8PSK - three-fourth",8629,"TERM1170"
"461",0,"8PSK - three-fourth",0,"TERM1207"
"462",0,"8PSK - fifth-sixth",0,"TERM1104"
"463",0,"8PSK - three-fourth",0,"TERM1082"
"464",0,"8PSK - two-third",0,"TERM791"
"465",0,"QPSK - fifth-sixth",0,"TERM797"
"466",0,"QPSK - ninth-tenth",0,"TERM761"
"467",0,"8PSK - three-fourth",0,"TERM746"
"468",0,"8PSK - three-fourth",0,"TERM873"
"469",0,"8PSK - three-fourth",0,"TERM912"
"470",0,"8PSK - two-third",0,"TERM578"
"471",0,"8PSK - three-fourth",0,"TERM1264"
"472",0,"8PSK - fifth-sixth",0,"TERM1117"
"473",10000,"8PSK - fifth-sixth",9836,"TERM53"
"474",0,"8PSK - three-fourth",0,"TERM1247"
"475",0,"8PSK - fifth-sixth",0,"TERM1166"
"476",0,"8PSK - fifth-sixth",0,"TERM737"
"477",0,"8PSK - fifth-sixth",0,"TERM693"
"478",0,"8PSK - fifth-sixth",0,"TERM905"
"479",0,"8PSK - fifth-sixth",0,"TERM824"
"480",0,"8PSK - three-fourth",0,"TERM595"
"481",0,"8PSK - two-third",0,"TERM644"
"482",0,"8PSK - fifth-sixth",0,"TERM587"
